domain,type,2nd type,3rd type,Source Notes (things to know?)
conservativespirit.com,bias,fake,,
conservativestate.com,bias,,,"links to other borderline fake, but mostly just propagandistic websites"
DeadlyClear.wordpress.com,bias,fake news,,"Not a personal website, owned by Project Maui, Inc. Makes unverifiable extraordinary claims, seems to be advertising for lawyers with a history of legal reprimands."
extraclubmagazine.com,bias,clickbait,fake,vacillates between outright fake and misleading stories
ihavethetruth.com,bias,clickbait,fake,
investmentwatchblog.com,bias,fake,,
makeamericagreattoday.com,bias,fake,,
newslogue.com,bias,fake,,
readconservatives.news,bias,fake,clickbait,
reagancoalition.com,bias,fake,clickbait,
sputniknews.com,bias,state,fake,
usherald.com,bias,conspiracy,fake,
notallowedto.com,clickbait,fake,,
82.221.129.208,conspiracy,fake,, 
angrypatriotmovement.com,conspiracy,fake,,
BB4SP.com,conspiracy,bias,fake,
fprnradio.com,conspiracy,fake,,
neonnettle.com,conspiracy,fake,bias,http://www.neonnettle.com/features/732-pizzagate-worldwide-pedophile-ring-bust-begins-media-remains-silent-
pamelageller.com,conspiracy,fake,bias,
prepperwebsite.com,conspiracy,fake,,
16wmpo.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
24newsflash.com,fake,,,
24wpn.com,fake, ,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
70news.wordpress.com,fake,,,
abcnews.com.co,fake,,,
abcnewsgo.co,fake,,,
alternativemediasyndicate.com,fake,,,http://alternativemediasyndicate.com/2017/02/02/police-raid-standing-rock-camp-destroy-tipis-burning-remains/
americannews.com,fake,,,
americanoverlook.com,fake,,,
americanpoliticnews.co,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
americanpresident.co,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
Amposts.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
anews24.org/,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
anonjekloy.tk,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
aurora-news.us,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
beforeitsnews.com,fake,conspiracy,rumor,
bighairynews.com,fake,conspiracy,,
blackinusrancenews.com,fake,unreliable,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
bostonleader.com,fake,,,
buzzfeedusa.com,fake,rumor,,
cannasos.com,fake,unreliable,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
cap-news.com,fake, ,,
cbsnews.com.co,fake,,,
channel-7-news.com,fake,,,
channel18news.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
cityworldnews.com,fake,,,
civictribune.com,fake,,,
clashdaily.com,fake,conspiracy,bias,
cnnews3.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
coed.com,fake,unreliable,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
conservativebyte.com,fake,bias,,
conservativedailypost.com,fake,unreliable,,This website is a weird mix of outright fake news and some stuff that looks more reliable. 
conservativefighters.com,fake,,,
conservativeflashnews.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
conservativeinfidel.com,fake,conspiracy,,
dailybuzzlive.com,fake,,,
dailyheadlines.com,fake, ,,
dailyheadlines.net,fake, ,,
dailyinfobox.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
dailynews10.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
dailynews5.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
dailynewsposts.info,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
dailysurge.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
dailyusaupdate.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
damnleaks.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
dcgazette.com,fake,,,
ddemocraticunderground.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
denverguardian.com,fake,,,
departed.co,fake,,,redirects to dcposts.com 
departedmedia.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
DIYhours.net,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
donaldtrumpnews.co,fake,,,
DonaldTrumpPotus45.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
downtrend.com,fake,satire,,
drudgereport.com.co,fake,,,
embols.com,fake,,,
Empirehearland.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
empireherald.com,fake,satire,,
empirenews.net,fake,satire,,
empirenews.net,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
en-vovle.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
enabon.com,fake,,,"No authors, no contact, just copy/pasted from other questionable sites"
enduringvision.com,fake,,,
enhlive.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
eutopia.buzz,fake,satire,conspiracy,
fakingnews.com,fake,satire,,fiction disclaimer on bottom of home screen 
fedsalert.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
flashnewscorner.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
floridasunpost.com,fake,satirical,,I concur: http://mashable.com/2016/10/03/fake-news-story-man-marries-granddaughter/#QvpAzP.e8Oqb 
freedomdaily.com,fake,,,
freshdailyreport.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
givemeliberity01.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
globalpoliticsnow.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
goneleft.com,fake,,,
gopthedailydose.com,fake,conspiracy,bias,
gummypost.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
healthycareandbeauty.com,fake,unreliable,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
healthyworldhouse.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
immediatesafety.org,fake,,,https://immediatesafety.org/dnc-to-hand-debbie-wasserman-schultz-over-to-isis-for-beheadding/
infostormer.com,fake,hate,conspiracy,
interestingdailynews.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
intrendtoday.com,fake,clickbait,,
itaglive.com,fake,,,
ItMakesSenseBlog.com,fake,,,
iwanttoexplore.com,fake,,,mostly turned back into car website
KMT11.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
