globo.com,0.80,0.89,95,70,79,79,80,108,,101,0.056,80112114,121710,25005,764,71852,304,VeryStrong
accuweather.com,0.80,0.85,91,66,75,75,61,666,273,644,0.056,94250814,83965,109905,749,207135,349,VeryStrong
cnn.com,0.90,0.96,96,81,82,82,76,76,20,65,0.056,292297732,571089,1455722,3817,387533,703,VeryStrong
weather.com,0.80,0.89,92,73,84,84,61,352,79,335,0.111,51821337,113588,856599,1376,449522,333,VeryStrong
news.google.com,0.90,0.99,95,89,74,74,66,1,1,1,0.000,208069247,94327,228610,1112,5667,117,VeryStrong
news.yahoo.com,0.90,0.92,94,76,80,80,71,12,5,14,0.111,45457183,129512,17697,956,3822,103,VeryStrong
foxnews.com,0.80,0.90,94,73,82,82,82,248,64,229,0.056,79143314,201203,257038,1421,4080,218,VeryStrong
theguardian.com,0.80,0.91,95,74,84,84,93,116,90,99,0.056,173890427,601707,370050,3663,12401,795,VeryStrong
nytimes.com,0.90,0.95,95,80,85,85,92,81,27,72,0.056,312049002,800512,1485820,4593,43559,914,VeryStrong
indiatimes.com,0.80,0.86,94,66,77,77,78,100,,92,0.056,154156947,164681,89392,1332,1638587,339,VeryStrong
bild.de,0.80,0.85,93,64,75,75,67,806,,767,0.056,13623171,60429,602,129,35,17,VeryStrong
drudgereport.com,0.70,0.75,73,66,49,49,42,1082,252,748,0.222,5219450,16504,931,195,4,3,VeryStrong
washingtonpost.com,0.90,0.92,95,75,85,85,86,170,69,156,0.111,119374353,434422,1355337,3049,477050,624,VeryStrong
medium.com,0.90,0.95,96,80,83,83,83,83,,73,0.056,331043540,516599,337916,2971,627653,728,VeryStrong
usatoday.com,0.80,0.90,94,73,84,84,91,409,140,332,0.056,121339367,334551,155859,2434,10626,354,VeryStrong
businessinsider.com,0.80,0.90,94,72,60,60,88,201,70,200,0.056,117634244,340659,52890,1956,7447,252,VeryStrong
forbes.com,0.90,0.93,95,77,83,83,87,202,81,177,0.056,90031614,574122,214410,3331,7433,551,VeryStrong
shutterstock.com,0.80,0.90,93,73,69,69,59,150,,176,0.056,32333786,103595,42509,494,666,37,VeryStrong
independent.co.uk,0.80,0.89,94,70,82,82,86,1013,628,742,0.056,37235533,276611,49093,1657,4180,231,VeryStrong
clarin.com,0.80,0.84,93,62,67,67,73,861,,788,0.056,14318618,41937,14917,559,18308,110,VeryStrong
corriere.it,0.80,0.84,92,64,63,63,70,901,,832,0.056,35981536,69392,20784,596,2894,156,VeryStrong
nypost.com,0.80,0.90,94,72,51,51,59,501,145,410,0.056,37757829,149026,12706,787,13288,91,VeryStrong
cnbc.com,0.80,0.88,93,70,75,75,90,219,85,189,0.056,76160174,264863,77268,1515,5117,283,VeryStrong
lemonde.fr,0.80,0.86,93,67,81,81,79,994,,856,0.056,64027338,121070,15109,832,1382,75,VeryStrong
vg.no,0.70,0.76,81,59,64,64,59,1308,,1215,0.056,6436289,21273,91,40,18,8,VeryStrong
news.com.au,0.80,0.87,93,69,70,70,65,982,,1079,0.056,26918379,100351,12975,611,5727,122,VeryStrong
