globo.com,38,957800000,384,2.91,51.27,68.26,0.63,24.43,5.78,0.77,0.12
uol.com.br,46,677190000,466,3.8,51.68,46.91,0.96,41.3,8.89,1.21,0.73
accuweather.com,97,456340000,65,2.27,56.79,64.89,1.44,28.96,2.16,2.53,0.02
quora.com,80,527289999.99999994,172,2.32,64.13,20.38,0.27,77.35,0.5,1.42,0.08
cnn.com,51,869810000,217,1.99,56.92,56.95,2.35,32.96,6.61,0.98,0.16
weather.com,116,444120000,75,1.83,55.26,80.3,0.9,17.28,0.75,0.76,0.01
news.google.com,73,617030000,324,3.12,44.54,72.01,9.49,13.92,3.72,0.83,0.02
news.yahoo.com,89,275480000,255,7.76,51.17,19.05,59.04,13.78,6.85,0.73,0.54
foxnews.com,120,384840000,421,2.79,49.78,64.5,4.29,24.99,4.65,1.49,0.08
theguardian.com,117,389420000,189,2.44,61.82,34.05,3.13,51.34,10.36,1.05,0.07
nytimes.com,110,443980000,169,2.11,64.53,45.57,3.84,37.53,10,2.96,0.1
indiatimes.com,196,167910000,446,4.39,53.91,25.47,1.04,63.53,6.57,3.35,0.03
bild.de,215,227320000,249,2.9,38.21,74.67,1.57,19.19,3.7,0.64,0.23
drudgereport.com,402,69740000,1437,11.62,45.79,91.44,0.8,4.3,1.32,2.13,0.01
washingtonpost.com,205,227120000,177,2.28,57.27,41.08,4.02,39.66,12.68,2.47,0.09
medium.com,246,213790000,98,1.66,77.15,21.03,4.42,64.25,8.36,1.85,0.09
usatoday.com,312,153880000,234,2.1,71.44,27.29,5.17,58.6,7.48,1.32,0.14
businessinsider.com,263,158650000,87,2.5,70.13,16.3,2.77,69.25,11.14,0.48,0.06
forbes.com,283,173710000,66,1.88,65.25,13.73,2.99,74.31,8.14,0.56,0.27
shutterstock.com,421,85790000,345,4.64,49.84,43.25,2.11,48.81,2.38,1.4,2.05
independent.co.uk,576,89250000,134,2.3,72.2,33.49,3.14,47.3,15.58,0.36,0.13
clarin.com,388,110960000,590,3.21,59.83,47.81,1.04,39.32,10.08,1.71,0.05
corriere.it,317,130100000,365,3.46,49.2,51.54,0.85,40.82,5.75,0.96,0.07
nypost.com,338,160980000,119,1.88,65.87,26.44,10.75,48.71,13.15,0.67,0.27
cnbc.com,244,176990000,164,2.8,55.85,36.65,5.42,50.44,6.66,0.73,0.1
lemonde.fr,334,128070000,729,3.17,64.06,45.17,3.76,39.66,8.65,2.72,0.03
vg.no,432,107530000,865,4.89,35.81,85.2,3.13,6.11,4.73,0.82,0.01
news.com.au,690,76370000,310,3.52,46.69,70.03,1.62,20.39,6.58,1.13,0.24
asahi.com,427,117060000,116,2.33,58.94,33.26,25.25,34.52,6.19,0.6,0.19
nikkei.com,362,130090000,153,2.55,55.19,51.29,2.48,40.29,4.95,0.74,0.25
newsnow.co.uk,1014,42970000,893,6.38,28.55,68.44,0.18,25.99,2.77,2.62,0.01
lequipe.fr,2669,26360000,205,2.49,46.81,64.92,5.4,19.64,8.23,1.77,0.03
telegraph.co.uk,718,76690000,195,2.31,70.75,27.23,2.97,61.44,7.05,0.89,0.43
yr.no,1160,52480000,90,2.67,42.1,86.36,0.91,9.27,1.92,1.53,0.01
bloomberg.com,385,112730000,532,3.24,64.98,35.47,4.84,39.05,16.84,3.76,0.04
lanacion.com.ar,621,72970000,671,3.47,56.95,51.48,0.94,38.38,7.08,2.09,0.03
nbcnews.com,679,99150000,77,1.51,74.64,26,8.95,46.92,17.41,0.62,0.1
folha.uol.com.br,504,106990000,255,2.18,70.24,27.7,29.82,30.53,10.38,1.09,0.49
wunderground.com,1149,52750000,188,2.91,38.09,89.04,0.81,7.4,0.94,1.8,0.01
weather.gov,987,63070000,147,2.71,45.86,87.4,1.68,9.77,0.57,0.58,0
livemint.com,737,53670000,136,4.41,55.35,16.24,0.83,77.61,3.99,1.33,0.01
cbsnews.com,1060,49580000,104,2.57,74.29,43.59,4.99,38.18,12.14,0.43,0.68
indianexpress.com,2295,50540000,205,2.03,69.29,45.32,5.3,36.05,9.96,3.25,0.12
nrk.no,1057,58690000,319,3.31,43.5,76.21,5.06,11.19,7.01,0.53,0.01
leparisien.fr,732,71280000,322,2.65,66.56,22.28,1.51,62.81,12.32,1.01,0.06
wsj.com,742,86260000,135,1.86,70.15,48.73,9.93,29.01,10.52,1.67,0.14
hindustantimes.com,1109,56990000,109,1.9,65.3,23.93,5.37,55.69,13.78,1.2,0.03
usnews.com,1305,41600000,114,2.46,69.38,10.76,3.43,83.63,1.85,0.31,0.01
reuters.com,705,88800000,180,1.85,70.82,41.59,10.29,33.9,13.37,0.79,0.05
thehill.com,873,84320000,180,1.61,73.27,20.67,8.38,43.9,21.16,5.84,0.05
abcnews.go.com,1209,53410000,216,1.82,75.13,29.88,6.37,50.13,12.68,0.81,0.14
sfgate.com,1439,39540000,295,2.53,68.14,32.46,2.63,57.73,5.71,1.3,0.16
thedailybeast.com,1581,41490000,92,1.86,70.81,31.13,12.66,38.75,16.12,1.29,0.06
theatlantic.com,1204,59240000,85,1.46,74.83,53.55,4.45,28.64,12.13,1.16,0.07
latimes.com,1066,62350000,77,1.65,71.24,29.44,5.76,53,10.87,0.82,0.11
estadao.com.br,1442,41230000,322,2.36,69.85,41.4,1.27,43.82,12.54,0.83,0.15
thehindu.com,2301,30670000,127,1.9,65.35,35.7,2.45,54.13,6.26,1.3,0.17
dw.com,1092,52420000,124,2.3,64.47,32.71,4.66,46.59,15.25,0.77,0.03
chron.com,2225,29690000,95,1.92,83.5,10.28,1.24,87.34,0.82,0.18,0.14
scmp.com,1504,41470000,232,2.15,63.69,32.8,5.27,46.95,13.83,1.09,0.05
time.com,1862,37340000,56,1.62,79.5,20.73,3.23,64.31,10.12,1.46,0.15
metoffice.gov.uk,3160,18190000,106,3.78,38.86,77.38,0.21,21.13,0.54,0.75,0
sueddeutsche.de,1297,48130000,142,2.14,64.01,50.31,2.34,37.7,8.47,0.98,0.2
mainichi.jp,1422,47880000,67,1.66,72.1,33.86,21.85,34.96,9.08,0.12,0.14
washingtonexaminer.com,4163,19160000,68,1.58,77.04,22.41,21.25,42.25,13.15,0.91,0.03
foxbusiness.com,2323,30470000,286,1.9,69.36,17.31,55.34,20.86,5.01,1.44,0.05
newsweek.com,1303,56560000,41,1.31,82.84,12.83,3.07,67.53,16.2,0.24,0.13
smh.com.au,2348,28470000,256,2.44,59.67,57.45,2.26,28.35,11.43,0.47,0.03
hollywoodreporter.com,2937,17910000,68,3.18,73.77,21.14,8.1,55.39,14.5,0.74,0.13
medscape.com,2417,24820000,150,2.47,62.37,26.13,1.57,66.04,3.74,2.47,0.05
ladepeche.fr,1577,37530000,162,2.35,68.46,27.68,1.66,63.3,6.24,1.1,0.03
ctvnews.ca,882,73790000,148,1.9,58.57,29.51,5.36,47.33,17.24,0.54,0.02
ft.com,1445,45680000,123,1.93,70.63,45.48,3.58,39.08,10.53,1.23,0.09
thetimes.co.uk,2541,27600000,128,1.9,73.87,39.31,5.42,40.33,13.41,0.94,0.59
inc.com,3567,20810000,74,1.67,72.27,16.85,3.29,74.02,5.28,0.5,0.06
